| Name                                               | Location          |  State | Tuition and fees | Undergrad Enrollment | Rank |
| University of Oklahoma                             | Norman            |  OK    |           21 451 |               22 132 |  111 |
| University of the Pacific                          | Stockton          |  CA    |           44 588 |                3 735 |  111 |
| University of Utah                                 | Salt Lake City    |  UT    |           27 039 |               23 794 |  111 |
| Michigan Technological University                  | Houghton          |  MI    |           30 968 |                5 721 |  118 |
| Seton Hall University                              | South Orange      |  NJ    |           39 258 |                6 090 |  118 |
| Temple University                                  | Philadelphia      |  PA    |           25 994 |               28 609 |  118 |
| University of California--Riverside                | Riverside         |  CA    |           40 263 |               18 608 |  118 |
| University of Kansas                               | Lawrence          |  KS    |           25 932 |               19 245 |  118 |
| University of St. Thomas                           | St. Paul          |  MN    |           39 594 |                6 240 |  118 |
| The Catholic University of America                 | Washington        |  DC    |           42 536 |                3 480 |  124 |
| DePaul University                                  | Chicago           |  IL    |           37 626 |               15 961 |  124 |
| Duquesne University                                | Pittsburgh        |  PA    |           35 062 |                5 961 |  124 |
| Howard University                                  | Washington        |  DC    |           24 908 |                6 883 |  124 |
| University of Arizona                              | Tucson            |  AZ    |           30 025 |               33 732 |  124 |
| Arizona State University--Tempe                    | Tempe             |  AZ    |           25 458 |               41 828 |  129 |
| Clarkson University                                | Potsdam           |  NY    |           46 132 |                3 257 |  129 |
| Colorado State University                          | Fort Collins      |  CO    |           28 374 |               24 433 |  129 |
| New School                                         | New York          |  NY    |           45 535 |                6 792 |  129 |
| Hofstra University                                 | Hempstead         |  NY    |           42 160 |                6 824 |  133 |
| University of Kentucky                             | Lexington         |  KY    |           26 334 |               22 705 |  133 |
| Kansas State University                            | Manhattan         |  KS    |           23 429 |               19 859 |  135 |
| Louisiana State University--Baton Rouge            | Baton Rouge       |  LA    |           27 005 |               26 156 |  135 |
| Mercer University                                  | Macon             |  GA    |           35 130 |                4 667 |  135 |
| New Jersey Institute of Technology                 | Newark            |  NJ    |           30 326 |                8 008 |  135 |
| Rutgers University--Newark                         | Newark            |  NJ    |           29 480 |                7 713 |  135 |
| University of Arkansas                             | Fayetteville      |  AR    |           23 168 |               22 159 |  135 |
| University of Cincinnati                           | Cincinnati        |  OH    |           26 334 |               25 054 |  135 |
| University of Mississippi                          | University        |  MS    |           22 012 |               18 785 |  135 |
| George Mason University                            | Fairfax           |  VA    |           32 582 |               23 062 |  143 |
| Oregon State University                            | Corvallis         |  OR    |           28 846 |               24 612 |  143 |
| Washington State University                        | Pullman           |  WA    |           25 673 |               24 470 |  143 |
| Adelphi University                                 | Garden City       |  NY    |           34 034 |                4 852 |  146 |
| Ohio University                                    | Athens            |  OH    |           21 208 |               23 513 |  146 |
| San Diego State University                         | San Diego         |  CA    |           18 244 |               29 234 |  146 |
| St. John Fisher College                            | Rochester         |  NY    |           31 880 |                2 805 |  146 |
| University at Albany--SUNY                         | Albany            |  NY    |           22 244 |               12 908 |  146 |
| University of Texas--Dallas                        | Richardson        |  TX    |           33 654 |               15 575 |  146 |
| Illinois State University                          | Normal            |  IL    |           20 886 |               18 426 |  152 |
| Immaculata University                              | Immaculata        |  PA    |           35 210 |                1 790 |  152 |
| Oklahoma State University                          | Stillwater        |  OK    |           20 978 |               21 046 |  152 |
| University of California--Merced                   | Merced            |  CA    |           39 944 |                6 237 |  152 |
| University of Illinois--Chicago                    | Chicago           |  IL    |           26 526 |               17 575 |  152 |
| University of La Verne                             | La Verne          |  CA    |           39 900 |                2 864 |  152 |
| University of Massachusetts--Lowell                | Lowell            |  MA    |           29 125 |               13 266 |  152 |
| Seattle Pacific University                         | Seattle           |  WA    |           38 940 |                3 202 |  159 |
| University of Alabama--Birmingham                  | Birmingham        |  AL    |           17 654 |               11 511 |  159 |
| University of Maryland--Baltimore County           | Baltimore         |  MD    |           24 492 |               11 243 |  159 |
| University of Rhode Island                         | Kingston          |  RI    |           28 852 |               13 641 |  159 |
| University of South Florida                        | Tampa             |  FL    |           17 325 |               31 111 |  159 |
| Biola University                                   | La Mirada         |  CA    |           36 696 |                4 225 |  164 |
| Maryville University of St. Louis                  | St Louis          |  MO    |           27 958 |                2 795 |  164 |
| Missouri University of Science & Technology        | Rolla             |  MO    |           26 152 |                6 841 |  164 |
| St. John's University                              | Queens            |  NY    |           39 460 |               16 210 |  164 |
| Virginia Commonwealth University                   | Richmond          |  VA    |           31 608 |               24 051 |  164 |
| Union University                                   | Jackson           |  TN    |           30 420 |                2 829 |  169 |
| University of Hawaii--Manoa                        | Honolulu          |  HI    |           33 764 |               13 689 |  169 |
| Edgewood College                                   | Madison           |  WI    |           27 530 |                1 813 |  171 |
